id,class,long,lat,NDVI,NDWI,NDCI,NDMI,PSRI,BNDVI,ONIR,ODVI,HubDist
"6123","3",119.991240,5.099257,0.485636,-0.430123,0.147151,0.299626,-0.010520,0.476296,2568.508891,0.483709,686.720277159463
"7442","3",119.990698,5.099078,0.421731,-0.385979,0.124965,0.247009,-0.001231,0.420677,2055.008891,0.419804,659.378321945495
"7443","3",119.990878,5.099078,0.478231,-0.431017,0.135531,0.306871,-0.006942,0.472222,2570.508891,0.476304,661.334657794513
"7444","3",119.991059,5.099077,0.499672,-0.442147,0.162867,0.309445,-0.009454,0.491105,2792.508891,0.497745,663.886850831351
"7445","3",119.991239,5.099076,0.495829,-0.438242,0.149930,0.307188,-0.010210,0.486652,2707.508891,0.493902,667.028061163421
"7446","3",119.991419,5.099075,0.500831,-0.449294,0.143916,0.313554,-0.007234,0.494375,2740.508891,0.498904,670.750013212029
"7447","3",119.991599,5.099074,0.490550,-0.438115,0.147256,0.301782,-0.004424,0.486572,2680.508891,0.488623,675.04310073369
"8764","3",119.990697,5.098898,0.433470,-0.394058,0.127528,0.259354,0.002165,0.435303,2154.008891,0.431543,639.468464990098
"8765","3",119.990878,5.098897,0.473970,-0.429370,0.132065,0.289806,-0.003138,0.471225,2570.508891,0.472043,641.485526031985
"8766","3",119.991058,5.098896,0.466024,-0.419860,0.156751,0.260092,-0.001118,0.465016,2485.508891,0.464097,644.116375710825
"8767","3",119.991238,5.098895,0.494814,-0.438506,0.162042,0.296012,-0.007722,0.487845,2692.508891,0.492887,647.353530441735
"8768","3",119.991418,5.098894,0.498767,-0.443916,0.147889,0.316481,-0.004658,0.494588,2781.508891,0.496840,651.187947879962
"8769","3",119.991598,5.098894,0.506894,-0.450656,0.154616,0.315678,-0.005839,0.501535,2869.508891,0.504967,655.609148298622
"8770","3",119.991779,5.098893,0.502976,-0.445768,0.162829,0.302118,-0.005544,0.497916,2896.508891,0.501049,660.605350104481
"10085","3",119.990516,5.098718,0.487009,-0.440232,0.144444,0.306792,-0.000569,0.486513,2688.508891,0.485082,618.120720330813
"10086","3",119.990697,5.098717,0.447451,-0.400432,0.137681,0.256687,-0.001488,0.446159,2277.008891,0.445524,619.563175192039
"10087","3",119.990877,5.098716,0.457206,-0.408321,0.146374,0.249307,0.002585,0.459441,2506.508891,0.455279,621.644829913539
"10088","3",119.991057,5.098715,0.445349,-0.399765,0.158033,0.224897,0.006793,0.451383,2396.508891,0.443422,624.35929081088
"10089","3",119.991237,5.098715,0.481067,-0.426578,0.146955,0.281847,-0.001612,0.479605,2722.508891,0.479140,627.698347975102
"10090","3",119.991417,5.098714,0.517285,-0.463205,0.159501,0.321126,-0.006281,0.511506,2986.508891,0.515358,631.652095897766
"10091","3",119.991598,5.098713,0.501887,-0.442711,0.163867,0.300099,-0.007372,0.495019,2801.508891,0.499960,636.209074309838
"10092","3",119.991778,5.098712,0.501486,-0.444039,0.171013,0.288750,-0.006400,0.495561,2772.508891,0.499559,641.356424776503
